"country","programme_code","file_sheet_index","table_name","column_name"
AT,"2014AT16RFOP001","1","2014AT16RFOP001_1",bezeichnung_der_interventionskategorie_fur_das_vorhaben_name_o
AT,"2014AT16RFOP001","1","2014AT16RFOP001_1",bezeichnung_des_vorhabens_operation_name
AT,"2014AT16RFOP001","1","2014AT16RFOP001_1",datum_des_beginns_des_vorhabens_operation_start_date
AT,"2014AT16RFOP001","1","2014AT16RFOP001_1",datum_des_endes_des_vorhabens_operation_end_date
AT,"2014AT16RFOP001","1","2014AT16RFOP001_1",gesamtbetrag_der_forderfahigen_ausgaben_des_vorhabens_total_el
AT,"2014AT16RFOP001","1","2014AT16RFOP001_1",land_country
AT,"2014AT16RFOP001","1","2014AT16RFOP001_1",name_des_begunstigten_name_of_beneficiary
AT,"2014AT16RFOP001","1","2014AT16RFOP001_1",regionalcode_des_vorhabens_location_indicator
AT,"2014AT16RFOP001","1","2014AT16RFOP001_1",unionskofinanzierungssatz_pro_prioritatsachse_union_cofinancin
AT,"2014AT16RFOP001","1","2014AT16RFOP001_1",zusammenfassung_des_vorhabens_operation_summary
BE,"2014BE16RFOP001","1","2014BE16RFOP001_1",beneficiary_name
BE,"2014BE16RFOP001","1","2014BE16RFOP001_1",code_of_category_of_intervention_of_the_operation
BE,"2014BE16RFOP001","1","2014BE16RFOP001_1",country
BE,"2014BE16RFOP001","1","2014BE16RFOP001_1",funds
BE,"2014BE16RFOP001","1","2014BE16RFOP001_1",name_of_category_of_intervention_of_the_operation
BE,"2014BE16RFOP001","1","2014BE16RFOP001_1",operation_end_date
BE,"2014BE16RFOP001","1","2014BE16RFOP001_1",operation_name
BE,"2014BE16RFOP001","1","2014BE16RFOP001_1",operation_postcode
BE,"2014BE16RFOP001","1","2014BE16RFOP001_1",operation_start_date
BE,"2014BE16RFOP001","1","2014BE16RFOP001_1",operation_summary
BE,"2014BE16RFOP001","1","2014BE16RFOP001_1",operational_program
BE,"2014BE16RFOP001","1","2014BE16RFOP001_1",total_eligible_expenditure_allocated_to_the_operation_in_euros
BE,"2014BE16RFOP001","1","2014BE16RFOP001_1",union_cofinancing_rate_as_per_priority_axes_
BE,"2014BE16RFOP001","2","2014BE16RFOP001_2",beneficiary_name
BE,"2014BE16RFOP001","2","2014BE16RFOP001_2",code_of_category_of_intervention_of_the_operation
BE,"2014BE16RFOP001","2","2014BE16RFOP001_2",country
BE,"2014BE16RFOP001","2","2014BE16RFOP001_2",funds
BE,"2014BE16RFOP001","2","2014BE16RFOP001_2",name_of_category_of_intervention_of_the_operation
BE,"2014BE16RFOP001","2","2014BE16RFOP001_2",operation_end_date
BE,"2014BE16RFOP001","2","2014BE16RFOP001_2",operation_name
BE,"2014BE16RFOP001","2","2014BE16RFOP001_2",operation_postcode
BE,"2014BE16RFOP001","2","2014BE16RFOP001_2",operation_start_date
BE,"2014BE16RFOP001","2","2014BE16RFOP001_2",operation_summary
BE,"2014BE16RFOP001","2","2014BE16RFOP001_2",operational_program
BE,"2014BE16RFOP001","2","2014BE16RFOP001_2",total_eligible_expenditure_allocated_to_the_operation_in_euros
BE,"2014BE16RFOP001","2","2014BE16RFOP001_2",union_cofinancing_rate_as_per_priority_axes_
BE,"2014BE16RFOP001","3","2014BE16RFOP001_3",beneficiary_name
BE,"2014BE16RFOP001","3","2014BE16RFOP001_3",code_of_category_of_intervention_of_the_operation
BE,"2014BE16RFOP001","3","2014BE16RFOP001_3",country
BE,"2014BE16RFOP001","3","2014BE16RFOP001_3",funds
BE,"2014BE16RFOP001","3","2014BE16RFOP001_3",missing_column_name_2
BE,"2014BE16RFOP001","3","2014BE16RFOP001_3",missing_column_name_5
BE,"2014BE16RFOP001","3","2014BE16RFOP001_3",missing_column_name_6
BE,"2014BE16RFOP001","3","2014BE16RFOP001_3",missing_column_name_7
BE,"2014BE16RFOP001","3","2014BE16RFOP001_3",name_of_category_of_intervention_of_the_operation
BE,"2014BE16RFOP001","3","2014BE16RFOP001_3",operation_end_date
BE,"2014BE16RFOP001","3","2014BE16RFOP001_3",operation_name
BE,"2014BE16RFOP001","3","2014BE16RFOP001_3",operation_postcode
BE,"2014BE16RFOP001","3","2014BE16RFOP001_3",operation_start_date
BE,"2014BE16RFOP001","3","2014BE16RFOP001_3",operation_summary
BE,"2014BE16RFOP001","3","2014BE16RFOP001_3",operational_program
BE,"2014BE16RFOP001","3","2014BE16RFOP001_3",total_eligible_expenditure_allocated_to_the_operation
BE,"2014BE16RFOP001","3","2014BE16RFOP001_3",union_cofinancing_rate_as_per_priority_axes_
BE,"2014BE16RFOP001","4","2014BE16RFOP001_4",beneficiary_name
BE,"2014BE16RFOP001","4","2014BE16RFOP001_4",code_of_category_of_intervention_of_the_operation
BE,"2014BE16RFOP001","4","2014BE16RFOP001_4",country
BE,"2014BE16RFOP001","4","2014BE16RFOP001_4",funds
BE,"2014BE16RFOP001","4","2014BE16RFOP001_4",name_of_category_of_intervention_of_the_operation
BE,"2014BE16RFOP001","4","2014BE16RFOP001_4",operation_end_date
BE,"2014BE16RFOP001","4","2014BE16RFOP001_4",operation_name
BE,"2014BE16RFOP001","4","2014BE16RFOP001_4",operation_postcode
BE,"2014BE16RFOP001","4","2014BE16RFOP001_4",operation_start_date
BE,"2014BE16RFOP001","4","2014BE16RFOP001_4",operation_summary
BE,"2014BE16RFOP001","4","2014BE16RFOP001_4",operational_program
BE,"2014BE16RFOP001","4","2014BE16RFOP001_4",total_eligible_expenditure_allocated_to_the_operation_en_euro
BE,"2014BE16RFOP001","4","2014BE16RFOP001_4",union_cofinancing_rate_as_per_priority_axes_
BE,"2014BE16RFOP001","5","2014BE16RFOP001_5",beneficiary_name
BE,"2014BE16RFOP001","5","2014BE16RFOP001_5",code_of_category_of_intervention_of_the_operation
BE,"2014BE16RFOP001","5","2014BE16RFOP001_5",country
BE,"2014BE16RFOP001","5","2014BE16RFOP001_5",funds
BE,"2014BE16RFOP001","5","2014BE16RFOP001_5",name_of_category_of_intervention_of_the_operation
BE,"2014BE16RFOP001","5","2014BE16RFOP001_5",operation_end_date
BE,"2014BE16RFOP001","5","2014BE16RFOP001_5",operation_name
BE,"2014BE16RFOP001","5","2014BE16RFOP001_5",operation_postcode
BE,"2014BE16RFOP001","5","2014BE16RFOP001_5",operation_start_date
BE,"2014BE16RFOP001","5","2014BE16RFOP001_5",operation_summary
BE,"2014BE16RFOP001","5","2014BE16RFOP001_5",operational_program
BE,"2014BE16RFOP001","5","2014BE16RFOP001_5",total_eligible_expenditure_allocated_to_the_operation_in_euros
BE,"2014BE16RFOP001","5","2014BE16RFOP001_5",union_cofinancing_rate_as_per_priority_axes_
BE,"2014BE16RFOP001","6","2014BE16RFOP001_6",beneficiary_name
BE,"2014BE16RFOP001","6","2014BE16RFOP001_6",code_of_category_of_intervention_of_the_operation
BE,"2014BE16RFOP001","6","2014BE16RFOP001_6",country
BE,"2014BE16RFOP001","6","2014BE16RFOP001_6",funds
BE,"2014BE16RFOP001","6","2014BE16RFOP001_6",name_of_category_of_intervention_of_the_operation
BE,"2014BE16RFOP001","6","2014BE16RFOP001_6",operation_end_date
BE,"2014BE16RFOP001","6","2014BE16RFOP001_6",operation_name
BE,"2014BE16RFOP001","6","2014BE16RFOP001_6",operation_postcode
BE,"2014BE16RFOP001","6","2014BE16RFOP001_6",operation_start_date
BE,"2014BE16RFOP001","6","2014BE16RFOP001_6",operation_summary
BE,"2014BE16RFOP001","6","2014BE16RFOP001_6",operational_program
BE,"2014BE16RFOP001","6","2014BE16RFOP001_6",total_eligible_expenditure_allocated_to_the_operation
BE,"2014BE16RFOP001","6","2014BE16RFOP001_6",union_cofinancing_rate_as_per_priority_axes_
BE,"2014BE16RFOP001","7","2014BE16RFOP001_7",beneficiary_name
BE,"2014BE16RFOP001","7","2014BE16RFOP001_7",code_of_category_of_intervention_of_the_operation
BE,"2014BE16RFOP001","7","2014BE16RFOP001_7",country
BE,"2014BE16RFOP001","7","2014BE16RFOP001_7",funds
BE,"2014BE16RFOP001","7","2014BE16RFOP001_7",name_of_category_of_intervention_of_the_operation
BE,"2014BE16RFOP001","7","2014BE16RFOP001_7",operation_end_date
BE,"2014BE16RFOP001","7","2014BE16RFOP001_7",operation_name
BE,"2014BE16RFOP001","7","2014BE16RFOP001_7",operation_postcode
BE,"2014BE16RFOP001","7","2014BE16RFOP001_7",operation_start_date
BE,"2014BE16RFOP001","7","2014BE16RFOP001_7",operation_summary
BE,"2014BE16RFOP001","7","2014BE16RFOP001_7",operational_program
BE,"2014BE16RFOP001","7","2014BE16RFOP001_7",total_eligible_expenditure_allocated_to_the_operation
BE,"2014BE16RFOP001","7","2014BE16RFOP001_7",union_cofinancing_rate_as_per_priority_axes_
BE,"2014BE16RFOP002","1","2014BE16RFOP002_1",missing_column_name_1
BE,"2014BE16RFOP002","1","2014BE16RFOP002_1",missing_column_name_10
BE,"2014BE16RFOP002","1","2014BE16RFOP002_1",missing_column_name_11
BE,"2014BE16RFOP002","1","2014BE16RFOP002_1",missing_column_name_12
BE,"2014BE16RFOP002","1","2014BE16RFOP002_1",missing_column_name_2
BE,"2014BE16RFOP002","1","2014BE16RFOP002_1",missing_column_name_3
BE,"2014BE16RFOP002","1","2014BE16RFOP002_1",missing_column_name_4
BE,"2014BE16RFOP002","1","2014BE16RFOP002_1",missing_column_name_5
BE,"2014BE16RFOP002","1","2014BE16RFOP002_1",missing_column_name_6
BE,"2014BE16RFOP002","1","2014BE16RFOP002_1",missing_column_name_7
BE,"2014BE16RFOP002","1","2014BE16RFOP002_1",missing_column_name_8
